AGHIONE,20270,AK002,VECT
AITI,20244,AK003,VECT
ALANDO,20212,AK005,VECT
ALBERTACCE,20224,AK007,IMAG
ALERIA,20270,AK009,VECT
ALGAJOLA,20220,AK010,VECT
ALTIANI,20251,AK012,VECT
ALZI,20212,AK013,VECT
AMPRIANI,20272,AK015,VECT
ANTISANTI,20270,AK016,VECT
AREGNO,20220,AK020,VECT
ASCO,20276,AK023,IMAG
AVAPESSA,20225,AK025,VECT
BARBAGGIO,20253,AK029,IMAG
BARRETALI,20228,AK030,VECT
BASTIA,20200,AK033,VECT
BELGODERE,20226,AK034,VECT
BIGORNO,20252,AK036,IMAG
BIGUGLIA,20620,AK037,VECT
BISINCHI,20235,AK039,IMAG
BORGO,20290,AK042,VECT
BRANDO,20222,AK043,IMAG
BUSTANICO,20212,AK045,VECT
CAGNANO,20228,AK046,IMAG
CALACUCCIA,20224,AK047,VECT
CALENZANA,20214,AK049,VECT
CALVI,20260,AK050,IMAG
CAMBIA,20244,AK051,VECT
CAMPANA,20229,AK052,IMAG
CAMPI,20270,AK053,VECT
CAMPILE,20290,AK054,IMAG
CAMPITELLO,20252,AK055,IMAG
CANALE DI VERDE,20230,AK057,VECT
CANARI,20217,AK058,VECT
CANAVAGGIA,20235,AK059,IMAG
CARCHETO BRUSTICO,20229,AK063,IMAG
CARPINETO,20229,AK067,IMAG
CARTICASI,20244,AK068,VECT
CASABIANCA,20237,AK069,VECT
CASALTA,20215,AK072,IMAG
CASAMACCIOLI,20224,AK073,VECT
CASANOVA,20250,AK074,VECT
CASEVECCHIE,20270,AK075,VECT
CASTELLARE DI CASINCA,20213,AK077,IMAG
CASTELLARE DI MERCURIO,20212,AK078,VECT
CASTELLO DI ROSTINO,20235,AK079,IMAG
CASTIFAO,20218,AK080,IMAG
CASTIGLIONE,20218,AK081,VECT
CASTINETA,20218,AK082,IMAG
CASTIRLA,20218,AK083,VECT
CATERI,20225,AK084,VECT
CENTURI,20238,AK086,IMAG
CERVIONE,20221,AK087,VECT
CHIATRA,20230,AK088,VECT
CHISA,20240,AK366,VECT
CORBARA,20220,AK093,VECT
CORSCIA,20224,AK095,IMAG
CORTE,20250,AK096,VECT
COSTA,20226,AK097,VECT
CROCE,20237,AK101,IMAG
CROCICCHIA,20290,AK102,IMAG
ERBAJOLO,20212,AK105,VECT
ERONE,20244,AK106,VECT
ERSA,20275,AK107,IMAG
FARINOLE,20253,AK109,VECT
